Operating Unit	Country	ISO3	Indicator	Description	Coarse Age	Sex	Modality	2018-T	2018Q1-R	2018Q2-R	2018Q3-R	2018Q4-R	2019-T	2019Q1-R	2019Q2-R	2019Q3-R	2019Q4-R	2020-T	2020Q1-R	2020Q2-R	2020Q3-R	2020Q4-R	2021-T	2021Q1-R	2021Q2-R	2021Q3-R	2021Q4-R	2022-T	2022Q1-R	2022Q2-R	2022Q3-R	2022Q4-R	2023-T	2023Q1-R	2023Q2-R	2023Q3-R	2023Q4-R	2024-T	2024Q1-R	2024Q2-R	2024Q3-R
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Emergency Ward			30	248	386	751	725	926	1,257	1,053		9	35	26	25	1,787	43	79	67	70	69	33	18	504	465	125	651	2,536	1,220	474		656	2,584	127
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Active Index																															5,227			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Emergency Ward			866	1,075	1,834	146	1,797	1,707	1,722	1,556		60	177	186	306	912	262	174	212	290	170	262	215	305	238	794	229	236	225	296		350	547	437
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Inpat	190	131	251	456	396	188	237	183	294	190		225	23	122	105	5,520	117	27	70	42	2,201	107	174	144	206	471	1,072	141	99	152		87		215
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Other PITC		100	23	37	20		13	22	25	20		666	3	6	6																			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Active Index																															5,085			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	PMTCT ANC	1,794	13	11	14	8	1,794						35	45	20	22	233	23	28	41	15	167	31	33	26	27	32	36	36	24	391		25	22	87
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	VCT		18	7	17	7			11	3			1																						
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	VCT	5,135	2,953	2,699	3,005	2,895	5,794	2,616	2,657	2,655	2,357		2,842	3,179	1,576	2,344	2,700	1,952	2,396	2,508	2,478	15,900	2,242	2,401	2,576	2,313	9,893	2,831	3,368	2,672	2,427		2,593	2,825	2,757
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Other PITC	3,656	910	963	900	1,007	2,925	1,941	1,954	1,781	1,090		119	285	142	110	3,975	104	102	159	125	1,867	166	206	113	78	321	104	167	249	329		881	101	1,022
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	VCT	1,510	1,295	956	937	1,021	2,280	892	760	636	517		869	779	405	614	14,462	605	636	841	800	9,235	836	893	32	68	1,049	65	412	460	467		660	16	1,764
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Other Facility																															19,665			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	MobileMod	9,490	3,249	4,101	3,361	6,485	11,626	4,757	4,720	4,222	3,853																								
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	IndexMod											83		523	228	680	1,128	859	633	700	1,341	1,880	1,387	817	1,172	773	7,200	719	974	1,651	1,520		574	3,107	6,978
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Emergency Ward			5	70	6		10		2	16		1	2																					
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Active Index																															4,302			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Other Facility																															4,260			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	VCTMod	495																																	
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Other PITC	14,658	5,811	7,088	7,226	6,681	14,349	10,945	9,380	9,823	6,493		2,097	5,403	3,978	4,572	2,776	4,803	6,306	7,334	7,267	23,751	6,982	7,178	7,794	6,653	15,836	5,857	7,450	6,410	5,928		6,109	6,539	6,281
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	VCTMod	1,191																																	
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	OtherMod																	14	2	11	15			79	68	50		151	61	10	14				
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	MobileMod		20	30	42	14	241	7	6	7	8																								
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Malnutrition	504	38	86	101	75	504	23	65	57	59																								
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT ANC	5,381	3,623	2,649	2,682	2,749	5,381					205,662	8,744	9,267	8,043	7,325	48,046	8,561	9,404	9,306	7,589	31,114	7,990	8,559	9,151	9,169	33,952	9,995	10,632	9,793	8,643	33,833	8,255	9,464	8,834
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	SNSMod																																125	765	649
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Index	2,769	195	173	178	209	1,420	248	236	227	127	15,629		307	59	96	550	54	72	106	109	1,484	75	64	83	81	555	61	79	58	67		29	53	82
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Post ANC1												5	1																					
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	TBClinic	161	63	68	135	263	74	498	427	502	360		40	51	67	37		21	49	32	24		17	20	34	34	66	48	42	35	25	59	22	37	43
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	VCT	12,487	3,965	3,865	4,242	3,979	13,053	3,552	3,532	3,332	2,835		4,380	4,532	2,032	3,285	6,004	2,914	3,065	3,558	3,169	22,259	3,208	3,342	3,459	3,305	17,989	4,391	5,879	4,128	3,429		4,142	4,707	4,514
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	MobileMod	3,985	190	1,004	883	1,642	4,978	464	555	405	1,175																								
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Other PITC		116	89	47	35		29	51	77	30		4	10	1																				
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	IndexMod	248	137		54							402		78	52	176	742	107	98	168	440	455	354	338	350	149	604	273	170	286	331		82	372	1,186
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Inpat	1,585	127	297	301	353	1,586	294	284	217	254		223	172	188	224	2,102	121	187	182	178	1,463	199	226	396	367	3,472	331	346	260	188		224	220	231
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	IndexMod		2		2											1			1		6		5												
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Other Facility																															74,203			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	IndexMod		2																1		7		4												
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Emergency Ward			11	90	17		11		5	8		26	6	5																				
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	SNSMod																																50		
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Inpat		19	4	3	3							1																						
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	PMTCT Post ANC1 Pregnant/L&D																																26	43	28
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Index													8	2	10																			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	TBClinic	635	416	406	698	1,396	564	1,659	1,701	1,690	1,545		302	346	388	324	1,613	353	351	423	363	1,498	207	379	407	361	1,824	282	282	305	280	1,660	284	341	277
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	PMTCT ANC		2		5	2							6	5	4	1															1				
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	VCT		33	3	25	3		1	22	1			1		1																				
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT Post ANC1 Pregnant/L&D																																8,604	9,868	7,979
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT Post ANC1 Breastfeeding																																		91
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	HomeMod	248																																	
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	STI Clinic																									7									
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	HomeMod	594																																	
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	OtherMod															9		66	10	14	50	2		553	727	232	2	1,949	2,308	859	459				
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	MobileMod		5																																
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	TBClinic	1,090	294	306	537	1,199	956	1,091	1,070	1,192	895		234	267	317	261	862	208	227	308	292	815	169	283	308	311	1,126	234	215	227	236	993	250	253	256
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Inpat		31	2	1	3																													
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	STI Clinic																									4									
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	SNSMod																																101	474	360
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	STI Clinic																									1,234									
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	MobileMod	1,423	21	123	133	499	1,744	372	265	179	130																								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	VCT	156	188	122	107	109	206	94	95	75	57		61	45	23	45	192	59	82	92	111	517	96	82	2	7	84	8	27	40	43		53	3	65
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	TBClinic	174	26	31	50	90	212	100	110	56	36		23	24	19	14	16	9	13	14	11	9	12	17	22	27	47	20	19	26	15	51	12	16	16
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Emergency Ward			14	21	30	111	27	33	26	18			2		1	45		1	3	2	9	1	1	40	29	8	6	15	11	4		10	60	4
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	PMTCT ANC	54					54						1				6			1		1							2	4	4			1	
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Inpat	29	3	4	7	5	29	5	6	9	2		7		2	4	138	3		3	2	84	3	6	5	14	26	58	4	2	4		2		
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	VCTMod	24																																	
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	VCTMod	179																																	
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Female	TBClinic				1																														
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Male	VCT		2	1	1	2			1																										
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	STI Clinic																									1									
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	IndexMod	13	16									120		16	20	58	220	31	26	44	137	91	106	117	94	41	258	35	36	43	66		14	38	72
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	OtherMod															5		17	10	14	42	1		78	119	70	2	71	75	49	45				
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	OtherMod															1				1	7	2		16	12	5	2	19	2	1	4			3	6
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Index	970	119	84	79	80	488	114	119	101	55	4,688		199	42	77	110	43	61	81	84	590	58	52	65	64	379	46	70	39	55		16	15	24
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Female	MobileMod		1		3	3	36	2	3	1	1																								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Emergency Ward			358	154	146	21	127	139	95	127		4	26	33	43	23	29	24	29	25	14	37	29	40	25	62	44	17	22	44		38	49	37
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Other PITC	534	83	48	53	36	437	78	60	42	33		4	2			149		1	3	2	55	4		1		31	1	7	1	6		3		1
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	IndexMod											25		22	13	35	163	32	25	25	57	94	47	30	46	37	360	23	39	34	35		17	55	120
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Inpat	130	7	17	12	5	134	1	4	4	4		29	1	11	15	31	7	18	8	17	51	14	14	9	16	91	19	8	20	10		13	14	7
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Active Index																															684			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	TBClinic	28	3	1	6	2	16	12	14	13	8		3	1	3	1			1	1			2	2	1	2		1			1	5			1
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Active Index																															311			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Post ANC1								18	9	10		71	6		16	17	10	20	13	12	117	10	40	15	14	138	5	30	69	44	154			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	SNSMod																																11	57	88
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	HomeMod	89																																	
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Active Index																															668			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	VCT	1,537	751	734	729	589	2,126	500	468	502	379		500	388	318	429	179	359	453	542	435	934	469	499	403	387	1,218	404	417	408	400		425	392	415
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Male	Inpat		1																																
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Other Facility																															424			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	VCT	200	376	320	333	283	585	241	221	273	206		222	225	161	193	108	194	251	307	263	395	255	255	241	209	548	195	212	228	201		220	190	195
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	SNSMod																																2	20	68
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Emergency Ward			349	200	248	49	205	273	231	182		44	85	92	88	87	124	129	90	94	112	89	63	107	64	125	74	66	78	72		119	123	111
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Male	Emergency Ward			2	7			8			11																								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	TBClinic	101	29	23	41	74	127	84	96	38	22		15	17	16	12	15	12	14	9	9	26	12	8	7	13	75	6	13	16	6	67	10	9	10
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Index	111	24	21	28	32	75	28	51	30	41	62		22	20	28	157	12	34	20	26	199	19	23	21	31	36	24	27	10	17		10	14	7
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Other PITC	967	393	114	89	67	1,073	86	77	85	65		36	122	109	91	39	62	56	83	69	160	59	34	64	51	259	51	60	44	76		30	26	25
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Other PITC	2,140	497	301	289	224	2,226	299	301	278	199		78	147	73	84	104	77	141	175	162	182	124	115	165	111	396	95	124	90	114		73	73	64
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Other Facility																															3,989			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	OtherMod																	7	2	10	12			14	34	15		20	15	4	6				
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Other Facility																															1,351			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	MobileMod	199	1	46	36	84	249	24	47	26	37																								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Male	Other PITC		32	1	5	3		1	2	3	2		1																						
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	IndexMod	89			24							1,011		3	7	56	129	19	6	6	31	287	84	40	32	3	67	6	6	15	30		6	21	66
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Female	Other PITC		28	4	5	3		1	3	5	1																								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Inpat	317	22	52	35	15	324	9	14	12	11		39	3	10	25	54	13	16	15	17	118	17	11	18	22	203	17	18	16	28		16	12	18
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	PMTCT Post ANC1 Breastfeeding																																		4
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Malnutrition	74	10	8	7	3	74	1	3	1	4																								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Female	Emergency Ward			1	11	2		9			4																								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Male	Index													5		1																			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Pediatric	562	102	42	42	52	562	3	14	5	4		6	2	6	3		4	10	7	6	15	3	4	65	37	15								
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	STI Clinic																									9									
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Index	438	68	57	74	54	255	77	74	72	54	307		108	52	66	23	34	57	57	78	184	56	53	52	45	120	35	42	34	44		16	12	18
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	PMTCT ANC	161	80	68	70	52	161					5,461	202	344	289	236	1,476	257	275	267	199	565	207	209	209	172	592	199	228	198	148	614	196	181	183
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	PMTCT Post ANC1 Pregnant/L&D																																34	54	43
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Female	Index													8	2	3																			
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Female	IndexMod																						2												
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	HomeMod	13																																	
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Male	IndexMod																						1												
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Female	Inpat		2	2	1								1																						
Angola	Angola	AGO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	STI Clinic																									1									
